"","X","dvcat","weight","dead","airbag","seatbelt","frontal","sex","ageOFocc","yearacc","yearVeh","abcat","occRole","deploy","injSeverity","caseid"
"208",208,"10-24",28.1659999999683,"alive","none","belted",0,"f",39,1997,1992,"unavail","driver",0,1,"4:3:1"
"209",209,"10-24",28.1659999999683,"alive","none","belted",1,"f",17,1997,1993,"unavail","driver",0,3,"4:3:2"
"211",211,"25-39",121.484999999404,"alive","airbag","belted",0,"f",77,1997,1995,"nodeploy","driver",0,1,"4:4:2"
"212",212,"10-24",259.364999998361,"alive","none","none",1,"f",30,1997,1993,"unavail","driver",0,1,"4:5:1"
"213",213,"10-24",259.364999998361,"alive","none","belted",0,"f",22,1997,1990,"unavail","driver",0,1,"4:5:2"
"214",214,"40-54",337.752999998629,"alive","airbag","belted",1,"m",56,1997,1991,"deploy","driver",1,1,"4:7:1"
"219",219,"25-39",30.7089999997988,"alive","none","belted",0,"f",17,1997,1989,"unavail","driver",0,3,"4:16:1"
"221",221,"25-39",18.9459999999963,"alive","airbag","belted",1,"m",87,1997,1995,"deploy","driver",1,4,"4:18:1"
"224",224,"10-24",128.177999999374,"alive","none","belted",1,"m",71,1997,1994,"unavail","pass",0,1,"4:20:2"
"225",225,"10-24",844.381999999285,"alive","none","belted",1,"f",40,1997,1991,"unavail","driver",0,0,"4:21:1"
"227",227,"10-24",18.5359999998473,"alive","none","belted",1,"f",81,1997,1993,"unavail","driver",0,3,"4:24:2"
"228",228,"25-39",1266.57299999893,"alive","none","belted",1,"m",54,1997,1991,"unavail","driver",0,0,"4:25:1"
"229",229,"25-39",114.633999999613,"alive","airbag","belted",1,"f",22,1997,1996,"deploy","driver",1,1,"4:26:1"
"230",230,"25-39",114.633999999613,"alive","none","belted",1,"m",52,1997,1988,"unavail","driver",0,2,"4:26:2"
"235",235,"10-24",18.5359999998473,"alive","airbag","belted",0,"f",73,1997,1994,"nodeploy","driver",0,3,"4:36:2"
"237",237,"10-24",12.3829999999143,"alive","none","belted",1,"f",51,1997,1988,"unavail","driver",0,3,"4:37:1"
"240",240,"25-39",111.742999999784,"alive","none","none",1,"m",59,1997,1985,"unavail","driver",0,1,"4:38:1"
"241",241,"10-24",111.742999999784,"alive","airbag","belted",0,"f",23,1997,1992,"nodeploy","driver",0,0,"4:38:2"
"243",243,"10-24",103.653999999166,"alive","airbag","belted",1,"m",30,1997,1997,"deploy","driver",1,0,"4:41:1"
"244",244,"10-24",103.653999999166,"alive","none","none",1,"f",25,1997,1997,"unavail","pass",0,2,"4:41:1"
"245",245,"25-39",103.653999999166,"alive","none","none",1,"f",56,1997,1988,"unavail","driver",0,2,"4:41:2"
"246",246,"10-24",12.3829999999143,"alive","none","belted",1,"m",79,1997,1990,"unavail","driver",0,3,"4:44:2"
"251",251,"25-39",1577.30499999225,"alive","none","belted",1,"m",39,1997,1993,"unavail","driver",0,0,"4:49:1"
"253",253,"10-24",76.3729999996722,"alive","airbag","belted",0,"m",37,1997,1995,"nodeploy","driver",0,2,"4:52:1"
"256",256,"10-24",351.892999999225,"alive","airbag","belted",0,"f",76,1997,1996,"nodeploy","pass",0,0,"4:53:1"
"257",257,"1-9km/h",351.892999999225,"alive","none","belted",1,"m",20,1997,1989,"unavail","driver",0,0,"4:53:4"
"259",259,"25-39",12.3829999999143,"alive","none","none",1,"m",41,1997,1987,"unavail","driver",0,1,"4:55:1"
"260",260,"25-39",12.3829999999143,"alive","none","belted",0,"m",44,1997,1986,"unavail","driver",0,3,"4:55:2"
"261",261,"10-24",21.3429999998771,"alive","airbag","belted",1,"m",19,1997,1995,"deploy","driver",1,3,"4:56:1"
"262",262,"10-24",21.3429999998771,"alive","airbag","none",1,"m",46,1997,1995,"deploy","driver",1,3,"4:57:1"
"267",267,"10-24",44.8619999997318,"alive","airbag","belted",1,"m",78,1997,1996,"deploy","driver",1,1,"4:59:1"
"269",269,"10-24",206.705999998376,"alive","airbag","belted",1,"m",47,1997,1991,"deploy","driver",1,2,"4:61:1"
"272",272,"25-39",18.5359999998473,"alive","airbag","belted",0,"f",50,1997,1994,"nodeploy","driver",0,3,"4:62:1"
"273",273,"25-39",18.5359999998473,"alive","airbag","belted",0,"f",76,1997,1994,"nodeploy","pass",0,3,"4:62:1"
"275",275,"25-39",12.3829999999143,"alive","none","belted",0,"f",17,1997,1989,"unavail","driver",0,3,"4:63:1"
"276",276,"25-39",12.3829999999143,"alive","none","none",0,"m",18,1997,1989,"unavail","pass",0,0,"4:63:1"
"277",277,"40-54",12.3829999999143,"alive","none","belted",0,"f",17,1997,1989,"unavail","driver",0,3,"4:64:1"
"278",278,"10-24",1004.50099999458,"alive","none","none",1,"f",42,1997,1989,"unavail","driver",0,1,"4:65:2"
"283",283,"10-24",28.7269999999553,"alive","airbag","belted",1,"f",72,1997,1992,"deploy","driver",1,3,"4:67:2"
"285",285,"25-39",59.9879999998957,"alive","airbag","belted",0,"f",40,1997,1996,"nodeploy","driver",0,1,"4:71:1"
"288",288,"10-24",395.170999996364,"alive","none","belted",1,"m",32,1997,1990,"unavail","driver",0,0,"4:73:2"
"289",289,"40-54",45.3339999997988,"alive","airbag","none",1,"m",56,1997,1994,"deploy","driver",1,3,"4:74:1"
"291",291,"10-24",19.8339999997988,"alive","airbag","belted",1,"m",76,1997,1996,"deploy","driver",1,0,"4:75:1"
"292",292,"10-24",19.8339999997988,"alive","airbag","belted",1,"f",74,1997,1996,"deploy","pass",1,3,"4:75:1"
"293",293,"10-24",19.8339999997988,"alive","airbag","belted",1,"m",73,1997,1996,"deploy","driver",1,3,"4:75:2"
"294",294,"25-39",17.6659999999683,"alive","none","none",1,"m",38,1997,1987,"unavail","driver",0,3,"4:77:1"
"299",299,"10-24",942.892999999225,"alive","airbag","belted",0,"f",80,1997,1990,"nodeploy","driver",0,0,"4:83:2"
"301",301,"40-54",21.1329999999143,"alive","none","belted",0,"f",22,1997,1983,"unavail","driver",0,3,"4:85:2"
"304",304,"10-24",46.2869999995455,"alive","none","belted",1,"f",25,1997,1990,"unavail","driver",0,1,"4:89:2"
"305",305,"40-54",18.5359999998473,"alive","airbag","belted",1,"m",79,1997,1997,"deploy","driver",1,3,"4:92:2"
"307",307,"10-24",86.1639999998733,"alive","airbag","belted",0,"m",38,1997,1994,"nodeploy","driver",0,0,"4:93:1"
"308",308,"10-24",86.1639999998733,"alive","airbag","belted",0,"f",39,1997,1994,"nodeploy","pass",0,1,"4:93:1"
"309",309,"10-24",86.1639999998733,"alive","none","belted",1,"f",17,1997,1987,"unavail","driver",0,1,"4:93:2"
"310",310,"25-39",12.3829999999143,"alive","none","belted",0,"m",83,1997,1992,"unavail","driver",0,3,"4:96:2"
"315",315,"25-39",12.3829999999143,"alive","none","none",1,"f",27,1997,1987,"unavail","driver",0,1,"4:97:3"
"317",317,"55+",13.3739999999525,"dead","none","none",0,"m",34,1997,1990,"unavail","driver",0,4,"4:100:1"
"320",320,"10-24",13.3739999999525,"alive","none","none",0,"m",28,1997,1979,"unavail","driver",0,2,"4:104:1"
"321",321,"10-24",13.3739999999525,"dead","airbag","belted",1,"m",37,1997,1995,"deploy","driver",1,4,"4:104:2"
"323",323,"10-24",43.4379999996163,"alive","none","none",0,"m",68,1997,1991,"unavail","driver",0,0,"4:105:2"
"324",324,"25-39",43.4379999996163,"alive","airbag","none",1,"m",45,1997,1993,"deploy","driver",1,2,"4:106:1"
"325",325,"40-54",92.7389999991283,"alive","airbag","belted",1,"f",61,1997,1993,"deploy","driver",1,1,"4:107:1"
"326",326,"55+",12.3829999999143,"alive","none","none",1,"m",19,1997,1984,"unavail","driver",0,3,"4:108:1"
"331",331,"40-54",18.5359999998473,"alive","none","belted",0,"f",29,1997,1994,"unavail","driver",0,3,"4:112:2"
"333",333,"10-24",18.5359999998473,"alive","airbag","belted",1,"f",22,1997,1994,"deploy","driver",1,3,"4:114:1"
"336",336,"10-24",218.924999998882,"alive","airbag","belted",0,"m",30,1997,1993,"nodeploy","pass",0,1,"4:115:1"
"337",337,"10-24",38.0079999999143,"alive","none","belted",1,"m",32,1997,1989,"unavail","driver",0,1,"4:117:1"
"339",339,"10-24",20.6679999998305,"alive","airbag","belted",1,"m",73,1997,1994,"deploy","driver",1,2,"4:120:1"
"340",340,"10-24",20.6679999998305,"alive","airbag","none",0,"m",34,1997,1997,"nodeploy","driver",0,3,"4:120:2"
"341",341,"10-24",20.6679999998305,"alive","airbag","belted",0,"m",31,1997,1994,"nodeploy","driver",0,0,"4:121:1"
"342",342,"10-24",20.6679999998305,"alive","airbag","belted",1,"f",39,1997,1994,"nodeploy","driver",0,3,"4:121:2"
"347",347,"10-24",31.3329999998678,"alive","airbag","belted",1,"f",41,1997,1997,"deploy","driver",1,1,"4:124:2"
"349",349,"1-9km/h",57.1959999999963,"alive","airbag","belted",0,"f",54,1997,1995,"nodeploy","driver",0,1,"4:127:1"
"352",352,"25-39",100.340999999084,"alive","none","none",0,"m",29,1997,1985,"unavail","pass",0,2,"4:133:1"
"353",353,"25-39",12.3829999999143,"alive","none","none",1,"m",85,1997,1986,"unavail","driver",0,3,"4:134:1"
"355",355,"10-24",12.3829999999143,"alive","none","none",0,"f",40,1997,1988,"unavail","driver",0,3,"4:134:2"
"356",356,"25-39",12.3829999999143,"alive","none","belted",1,"m",78,1997,1993,"unavail","driver",0,2,"4:135:1"
"357",357,"25-39",12.3829999999143,"alive","none","belted",1,"f",83,1997,1993,"unavail","pass",0,1,"4:135:1"
"358",358,"25-39",54.4759999997914,"alive","airbag","none",1,"f",20,1997,1994,"deploy","driver",1,1,"4:136:2"
"363",363,"10-24",378.557999998331,"alive","none","belted",1,"f",79,1997,1990,"unavail","driver",0,1,"4:141:1"
"365",365,"10-24",74.0299999993294,"alive","airbag","belted",1,"f",17,1997,1995,"deploy","pass",1,0,"4:143:1"
"368",368,"25-39",158.05199999921,"alive","none","belted",1,"m",23,1997,1987,"unavail","driver",0,0,"4:144:1"
"369",369,"25-39",158.05199999921,"alive","none","belted",1,"f",19,1997,1987,"unavail","pass",0,0,"4:144:1"
"371",371,"10-24",487.676999997348,"alive","none","belted",1,"f",34,1997,1990,"unavail","driver",0,1,"4:145:2"
"372",372,"25-39",15.3549999999814,"dead","airbag","none",1,"f",84,1997,1996,"deploy","driver",1,4,"4:146:1"
"373",373,"10-24",15.3549999999814,"alive","none","belted",0,"f",49,1997,1985,"unavail","driver",0,1,"4:146:2"
"374",374,"10-24",15.3549999999814,"alive","none","belted",0,"f",82,1997,1985,"unavail","pass",0,3,"4:146:2"
"379",379,"10-24",57.679999999702,"alive","none","belted",0,"f",18,1997,1990,"unavail","driver",0,1,"4:151:1"
"381",381,"10-24",246.277999999002,"alive","none","belted",1,"m",74,1997,1985,"unavail","driver",0,0,"4:157:2"
"384",384,"10-24",594.789999999106,"alive","airbag","belted",1,"f",36,1997,1995,"nodeploy","driver",0,0,"4:161:1"
"385",385,"25-39",12.3829999999143,"alive","none","none",1,"f",30,1997,1990,"unavail","driver",0,3,"4:162:1"
"387",387,"10-24",21.7929999998305,"alive","none","belted",1,"m",18,1997,1979,"unavail","driver",0,3,"4:164:1"
"388",388,"10-24",21.7929999998305,"alive","none","none",1,"m",20,1997,1979,"unavail","pass",0,2,"4:164:1"
"389",389,"10-24",12.3829999999143,"alive","airbag","belted",0,"f",17,1997,1991,"nodeploy","driver",0,2,"4:167:1"
"390",390,"10-24",12.3829999999143,"alive","airbag","belted",0,"f",17,1997,1991,"nodeploy","pass",0,3,"4:167:1"
"395",395,"25-39",28.7269999999553,"alive","airbag","belted",0,"m",17,1997,1992,"deploy","driver",1,1,"4:170:2"
"397",397,"10-24",114.38599999994,"alive","airbag","belted",1,"m",28,1997,1995,"deploy","driver",1,3,"4:173:1"
"400",400,"25-39",47.8169999998063,"alive","none","belted",1,"f",73,1997,1989,"unavail","driver",0,1,"5:1:1"
"401",401,"25-39",47.8169999998063,"alive","none","belted",1,"f",62,1997,1989,"unavail","pass",0,1,"5:1:1"
"403",403,"10-24",47.8169999998063,"alive","airbag","belted",0,"f",45,1997,1994,"deploy","pass",1,3,"5:1:2"
"404",404,"10-24",76.1509999996051,"alive","airbag","none",1,"f",26,1997,1992,"deploy","driver",1,3,"5:11:1"
"405",405,"40-54",55.2249999996275,"alive","none","none",1,"m",39,1997,1992,"unavail","driver",0,3,"5:13:1"
"406",406,"25-39",62.3159999996424,"alive","airbag","belted",1,"m",44,1997,1995,"deploy","driver",1,2,"5:15:1"
"411",411,"10-24",1776.84199999273,"alive","airbag","belted",0,"f",24,1997,1993,"nodeploy","driver",0,1,"5:21:1"
"413",413,"10-24",419.768999997526,"alive","airbag","belted",1,"m",47,1997,1997,"deploy","driver",1,1,"5:22:1"
"416",416,"10-24",307.334999997169,"alive","airbag","belted",0,"f",33,1997,1995,"nodeploy","driver",0,1,"5:27:1"
"417",417,"10-24",307.334999997169,"alive","none","belted",1,"m",45,1997,1987,"unavail","driver",0,1,"5:27:2"
"419",419,"10-24",1754.78499999642,"alive","none","none",0,"m",18,1997,1993,"unavail","driver",0,0,"5:29:2"
"420",420,"40-54",29.6549999997951,"dead","none","none",1,"m",75,1997,1986,"unavail","driver",0,4,"5:32:1"
"421",421,"25-39",36.7019999995828,"alive","none","none",0,"m",20,1997,1977,"unavail","driver",0,2,"5:33:1"
"422",422,"25-39",36.7019999995828,"alive","none","none",0,"m",22,1997,1977,"unavail","pass",0,0,"5:33:1"
"427",427,"10-24",331.479999996722,"alive","airbag","none",0,"f",62,1997,1996,"deploy","driver",1,2,"5:42:1"
"429",429,"25-39",1528.32099999487,"alive","none","belted",1,"f",25,1997,1984,"unavail","driver",0,1,"5:44:1"
"432",432,"10-24",37.6739999996498,"alive","none","belted",1,"f",29,1997,1991,"unavail","driver",0,1,"5:63:1"
"433",433,"10-24",37.6739999996498,"alive","none","none",0,"f",30,1997,1989,"unavail","driver",0,3,"5:63:2"
"435",435,"25-39",51.2429999997839,"alive","airbag","belted",1,"f",20,1997,1995,"deploy","driver",1,3,"5:71:2"
"436",436,"25-39",34.6989999995567,"alive","airbag","belted",1,"m",66,1997,1996,"deploy","driver",1,2,"5:74:1"
"437",437,"40-54",34.6989999995567,"alive","none","belted",1,"m",41,1997,1989,"unavail","driver",0,3,"5:74:2"
"438",438,"25-39",264.679999999702,"alive","none","belted",1,"f",22,1997,1984,"unavail","driver",0,0,"5:75:2"
"443",443,"40-54",766.155999995768,"alive","airbag","belted",1,"m",31,1997,1994,"deploy","driver",1,1,"5:84:1"
"445",445,"25-39",36.7019999995828,"alive","airbag","belted",0,"f",18,1997,1996,"deploy","driver",1,3,"5:87:1"
"448",448,"10-24",354.530999999493,"alive","airbag","belted",1,"f",47,1997,1996,"deploy","driver",1,1,"5:88:1"
"449",449,"25-39",354.530999999493,"alive","none","belted",1,"f",39,1997,1988,"unavail","driver",0,1,"5:88:2"
"451",451,"25-39",311.245999999344,"alive","airbag","none",0,"f",50,1997,1994,"deploy","driver",1,3,"5:90:2"
"452",452,"10-24",29.6549999997951,"dead","none","none",1,"m",19,1997,1989,"unavail","driver",0,4,"5:91:2"
"453",453,"10-24",29.6549999997951,"alive","none","none",1,"f",19,1997,1989,"unavail","pass",0,1,"5:91:2"
"454",454,"25-39",29.6549999997951,"alive","none","none",1,"m",32,1997,1981,"unavail","driver",0,3,"5:94:1"
